Iteration	Min	Max	Avg	Std
1	208.07777777777778	325.4755555555556	281.0811864712827	29.53628220582419
2	208.07777777777778	342.37182539682544	269.11123581469036	31.013632732570642
3	201.40857142857146	347.2615873015874	269.9995884822249	32.7687947142674
4	189.37666666666667	327.52826839826844	270.1052064904793	30.3132524856766
5	189.37666666666667	333.17587301587304	267.489276122867	28.905431761172785
6	189.37666666666667	339.64401154401156	274.1870612720613	32.08406747919107
7	189.37666666666667	327.96031746031736	270.52050563577836	30.64720704515786
8	189.37666666666667	335.90181818181816	263.7845577150123	32.42739316062541
9	162.3369841269841	356.56698412698415	260.99855096418736	34.866338767347386
10	158.318253968254	325.3373737373737	264.5945733256642	34.68481907112502
11	158.318253968254	330.42166666666674	263.4546007124189	32.56366372793956
12	158.318253968254	316.91111111111115	266.27394736220407	33.61695965436773
13	158.318253968254	324.14825396825404	268.7922223433133	35.21462340200751
14	158.318253968254	329.0234848484848	275.6455813948381	30.348618026374034
15	158.318253968254	340.92652014652015	274.65718845800666	34.6103468297478
16	158.318253968254	342.1956043956044	270.2545453898449	31.893747824361697
17	158.318253968254	327.7969047619047	269.01939320156976	30.48745411448821
18	158.318253968254	338.52771672771667	269.1855361809907	32.5654501947161
19	148.9638888888889	339.4378571428571	270.5565085318722	38.03363888328812
20	148.9638888888889	341.0209523809524	267.3956218125309	34.74808328632271
21	148.9638888888889	343.61523809523817	270.0917165561711	35.48622362145335
22	148.9638888888889	367.48238428238426	268.6712556231647	39.52997994667935
23	148.9638888888889	324.4203174603175	265.74028960938057	35.010897575995166
24	148.9638888888889	329.37023809523816	271.1973052704871	33.15946885726751
25	148.9638888888889	325.6709523809525	266.2913365977458	34.08479780841446
26	148.9638888888889	332.4063492063492	266.0015440317258	38.952007186517896
27	148.9638888888889	341.37626984126985	261.98633953924866	38.72987724969219
28	148.9638888888889	338.32058823529417	259.145647008369	34.839872713761714
29	148.9638888888889	313.2050980392157	263.2623430523724	29.033590679247734
30	148.9638888888889	447.0204329004329	260.27948153154034	38.963043350172626
31	148.9638888888889	337.15214285714274	259.4713688937326	33.10655882648554
32	148.9638888888889	334.16507936507935	265.54508038426223	37.854519129272234
33	148.9638888888889	349.64611111111105	263.5998362950181	33.434216823462
34	148.9638888888889	334.18095238095236	261.93591212827573	32.98752760907433
35	148.9638888888889	338.39	265.18751294160387	31.58396529350699
36	148.9638888888889	319.4706349206349	260.854231243504	34.1488895101522
37	148.9638888888889	317.37121212121224	268.0399229498962	30.907470651657746
38	148.9638888888889	320.9009090909091	255.23701880947334	35.17493342992938
39	148.9638888888889	330.9490043290043	259.3242500479319	30.79221358534193
40	148.9638888888889	333.94769230769236	261.1482126963945	32.303093232934785
41	148.9638888888889	335.3933333333334	263.69316589471134	34.20387738382171
42	148.9638888888889	335.4589285714286	266.72281779420814	35.92690451207604
43	148.9638888888889	328.549126984127	268.68045565545566	35.868573554956136
44	148.9638888888889	314.2632539682539	260.8693583689038	34.2504724480968
45	148.9638888888889	319.2823809523809	260.20953366835187	29.602922065247544
46	148.9638888888889	336.63888888888886	267.80781903954636	37.22316870873041
47	148.9638888888889	354.5009523809524	261.72304285613376	33.42609158286371
48	148.9638888888889	338.1279187479187	258.9576017164653	35.76094082394007
49	148.9638888888889	310.8606060606061	254.0303748141342	29.2402822365626
50	148.9638888888889	306.4938888888889	257.6969884862612	29.147075921013847
51	148.9638888888889	322.5741125541126	263.33418786264247	29.864737121090215
52	148.9638888888889	322.35860805860807	264.31451318378595	32.847193867856
53	148.9638888888889	318.0872727272727	257.91481176903903	30.402154580030423
54	148.9638888888889	304.4563492063493	257.7483450387996	29.858165279812024
55	148.9638888888889	312.1161904761905	256.2424229003319	29.795906239820443
56	148.9638888888889	338.9127777777778	256.60349519672246	34.57878053339433
57	148.9638888888889	342.40568598068603	263.74281790936334	31.14121289923211
58	148.9638888888889	343.8825974025974	258.3612520207065	34.031863543180854
59	148.9638888888889	322.3592657342657	262.9994901361265	32.54510921926231
60	148.9638888888889	315.20071428571424	254.7820064872739	33.9732828846251
61	148.9638888888889	328.3578932178932	260.66945494909135	36.21526329470637
62	148.9638888888889	337.85135198135197	261.8459741268832	40.50720960044029
63	148.9638888888889	340.16090909090906	262.84171538562447	37.74824693368684
64	148.9638888888889	351.67999999999995	267.46610245310245	37.45673295736664
65	148.9638888888889	342.0111183261182	259.62714051100414	37.71364415030139
66	148.9638888888889	341.02954378954377	256.49195555454645	36.641941992189466
67	148.9638888888889	335.6599755799756	262.0967235693599	32.78238849283486
68	148.9638888888889	307.5224242424242	259.42497073692795	29.89527711996791
69	148.9638888888889	318.3681196581196	256.3823783489238	27.671421545588366
70	148.9638888888889	322.3212454212454	260.6404196409651	33.04701555100223
71	148.9638888888889	338.688888888889	258.7800092634638	35.6324397250342
72	148.9638888888889	325.1257142857143	258.1008620974985	34.14172107035969
73	148.9638888888889	338.4759595959596	263.8079021685386	32.64066787292086
74	148.9638888888889	350.5561904761905	264.45469676787854	32.90038864816307
75	148.9638888888889	346.5647863247863	267.6640222000222	36.997169161975414
76	148.9638888888889	315.1733333333333	268.29380592135135	31.071978290201308
77	148.9638888888889	338.08259740259734	264.66471954308315	32.19393903151675
